Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0340485T;Ecole élémentaire Voltaire;Ecole;Public;157 rue Henri Sellier;;34070 MONTPELLIER;34070;34172;Montpellier;034;11;76;0;1;;;;0467471965;;;ce.0340485T@ac-montpellier.fr;1;0;1;;;;;;;;;;;;;;;21340172200938;280;;43.59529505542937, 3.86365022895018;SANS OBJET;Hérault;Montpellier;Occitanie;769760.6;6277741.4;EPSG:2154;Circonscription d'inspection du 1er degré de Montpellier Sud;43.59529505542937;3.86365022895018;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340053Y;;;0340859Z;034004;FABREGUES;11121;MONTPELLIER SUD
0340491Z;Ecole élémentaire Lamartine;Ecole;Public;30 rue de la Valfère;;34000 MONTPELLIER;34000;34172;Montpellier;034;11;76;0;1;;;;0467606205;;;ce.0340491Z@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340172200854;107;;43.60943677554938, 3.873760205198586;SANS OBJET;Hérault;Montpellier;Occitanie;770559.8;6279322.0;EPSG:2154;Circonscription d'inspection du 1er degré de Montpellier Est;43.60943677554938;3.873760205198586;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340048T;;;0340862C;034009;MONTPELLIER;11121;MONTPELLIER SUD
0340515A;Ecole élémentaire Sun Yat Sen;Ecole;Public;803 rue Croix de Figuerolles;;34070 MONTPELLIER;34070;34172;Montpellier;034;11;76;0;1;;;;0467045998;;;ce.0340515A@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340172200425;247;;43.604036389803085, 3.844930586204451;SANS OBJET;Hérault;Montpellier;Occitanie;768238.2;6278696.5;EPSG:2154;Circonscription d inspection du 1er degré de Montpellier Centre;43.604036389803085;3.844930586204451;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340051W;;;0342373V;034008;MONTARNAUD;11120;MONTPELLIER NORD
0340536Y;Ecole maternelle Marcel Pagnol;Ecole;Public;305 rue Georges Brassens;;34070 MONTPELLIER;34070;34172;Montpellier;034;11;76;1;0;;;;0467275378;;;ce.0340536Y@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340172201431;159;;43.594159007201604, 3.8655199128720006;SANS OBJET;Hérault;Montpellier;Occitanie;769913.0;6277616.8;EPSG:2154;Circonscription d'inspection du 1er degré de Montpellier Sud;43.594159007201604;3.8655199128720006;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0340053Y;;;0340859Z;034004;FABREGUES;11121;MONTPELLIER SUD
0480063H;école primaire;Ecole;Public;VILLAGE;LACHAMP;48100 LACHAMP RIBENNES;48100;48126;Lachamp-Ribennes;048;11;76;1;1;;;;0466473852;;;ce.0480063H@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;20008333500048;23;;44.61191191222565, 3.3728162760949583;SANS OBJET;Lozère;Montpellier;Occitanie;729581.1;6390383.2;EPSG:2154;Circonscription d'inspection du 1er degré de Marvejols - ASH;44.61191191222565;3.3728162760949583;Ville;1968-02-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480005V;;;0480047R;048002;MARVEJOLS;11101;LOZERE
0340540C;Ecole maternelle Florian;Ecole;Public;49 rue de la Méditerranée;;34070 MONTPELLIER;34070;34172;Montpellier;034;11;76;1;0;;;;0467657350;;;ce.0340540C@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340172200649;107;;43.605002155682925, 3.88646059649171;SANS OBJET;Hérault;Montpellier;Occitanie;771590.9;6278840.6;EPSG:2154;Circonscription d'inspection du 1er degré de Montpellier Sud;43.605002155682925;3.88646059649171;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0341277D;;;0340859Z;034009;MONTPELLIER;11121;MONTPELLIER SUD
0480071S;Ecole maternelle;Ecole;Public;Pré de la Foire;;48300 LANGOGNE;48300;48080;Langogne;048;11;76;1;0;;;;0466690476;;;ce.0480071S@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21480080700056;51;;44.73065648186531, 3.856456682511676;SANS OBJET;Lozère;Montpellier;Occitanie;767811.4;6403870.9;EPSG:2154;Circonscription d'inspection du 1er degré de Mende;44.73065648186531;3.856456682511676;Rue;1968-02-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0480004U;;;0480050U;048003;MENDE;11101;LOZERE
0340549M;Ecole maternelle Pasteur;Ecole;Public;15 rue du Saint Sépulcre;;34000 MONTPELLIER;34000;34172;Montpellier;034;11;76;1;0;;;;0467606496;;;ce.0340549M@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340172200987;46;;43.60924481231871, 3.8733498572739475;SANS OBJET;Hérault;Montpellier;Occitanie;770526.9;6279300.3;EPSG:2154;Circonscription d'inspection du 1er degré de Montpellier Est;43.60924481231871;3.8733498572739475;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0340048T;;;0340862C;034009;MONTPELLIER;11121;MONTPELLIER SUD
0480088K;école primaire;Ecole;Public;84 rue de La Combe;;48500 MASSEGROS CAUSSES GORGES;48500;48094;Massegros Causses Gorges;048;11;76;1;1;;;;0466488594;;;ce.0480088K@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;20007261900071;49;;44.307162758352206, 3.1744178624949115;SANS OBJET;Lozère;Montpellier;Occitanie;713914.0;6356475.2;EPSG:2154;Circonscription d'inspection du 1er degré de Marvejols - ASH;44.307162758352206;3.1744178624949115;Numéro de rue;1968-02-02;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480006W;;;0480047R;048002;MARVEJOLS;11101;LOZERE
0340582Y;Ecole maternelle Pierre et Marie Curie;Ecole;Public;1 place LABETCH;;34250 PALAVAS LES FLOTS;34250;34192;Palavas-les-Flots;034;11;76;1;0;;;;0467681586;;;ce.0340582Y@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340192000037;122;;43.53037146684927, 3.9327702870281276;SANS OBJET;Hérault;Montpellier;Occitanie;775428.7;6270589.6;EPSG:2154;Circonscription d'inspection du 1er degré de Lattes;43.53037146684927;3.9327702870281276;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0341537L;;;0342067M;034009;MONTPELLIER;11119;LUNEL
0480148A;école primaire;Ecole;Public;Village Bédouès;BEDOUES;48400 BEDOUES COCURES;48400;48050;Bédouès-Cocurès;048;11;76;1;1;;;;0466450472;;;ce.0480148A@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;20005756000043;33;;44.34102634180434, 3.6047820406522213;SANS OBJET;Lozère;Montpellier;Occitanie;748216.6;6360406.5;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.34102634180434;3.6047820406522213;Rue;1968-02-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480003T;;;0480048S;048001;FLORAC;11101;LOZERE
0340605Y;Ecole primaire Paul Riquet;Ecole;Public;Boulevard des Ecoles;;34310 POILHES;34310;34206;Poilhes;034;11;76;1;1;;;;0467934925;;;ce.0340605Y@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340206800026;28;;43.30677020732255, 3.07843992150426;SANS OBJET;Hérault;Montpellier;Occitanie;706367.9;6245292.9;EPSG:2154;Circonscription d'inspection du 1er degré de Béziers Sud;43.30677020732255;3.07843992150426;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341367B;;;0340861B;034003;BEZIERS;11071;BEZIERS
0480177G;école primaire;Ecole;Public;Rue des Ecoles;;48230 CHANAC;48230;48039;Chanac;048;11;76;1;1;;;;0466482367;;;ce.0480177G@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21480039300032;91;;44.465966633999464, 3.3417395861705566;SANS OBJET;Lozère;Montpellier;Occitanie;727185.5;6374160.2;EPSG:2154;Circonscription d'inspection du 1er degré de Mende;44.465966633999464;3.3417395861705566;Numéro de rue;1968-02-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480607Z;;;0480050U;048003;MENDE;11101;LOZERE
0340616K;Ecole élémentaire les Baux;Ecole;Public;26 rue de la Salle;;34560 POUSSAN;34560;34213;Poussan;034;11;76;0;1;;;;0467782095;;;ce.0340616K@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340213400026;261;;43.48775441549999, 3.667020459976373;SANS OBJET;Hérault;Montpellier;Occitanie;753979.4;6265635.3;EPSG:2154;Circonscription d'inspection du 1er degré de Frontignan Littoral;43.48775441549999;3.667020459976373;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340062H;;;0342068N;034012;SETE;11114;BASSIN DE THAU
0480237X;école primaire;Ecole;Public;LE CHAMBON;LE CHAMBON;48800 PIED DE BORNE;48800;48015;Pied-de-Borne;048;11;76;1;1;;;;0466698080;;;ce.0480237X@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21480015300022;16;;44.47485185475924, 3.9859696173271275;SANS OBJET;Lozère;Montpellier;Occitanie;778420.1;6375578.0;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.47485185475924;3.9859696173271275;Numéro de rue;1968-02-03;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480017H;;;0480048S;048001;FLORAC;11101;LOZERE
0340663L;Ecole primaire;Ecole;Public;Impasse du Mistral;;34160 ST BAUZILLE DE MONTMEL;34160;34242;Saint-Bauzille-de-Montmel;034;11;76;1;1;;;;0467861698;;;ce.0340663L@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340242300023;136;;43.76987869263127, 3.9562827849854147;SANS OBJET;Hérault;Montpellier;Occitanie;777007.6;6297228.4;EPSG:2154;Circonscription d'inspection du 1er degré de Castelnau le Lez;43.76987869263127;3.9562827849854147;Rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0342036D;;;0340865F;034007;MATHIEU;11124;PIC SAINT LOUP
0480245F;école primaire;Ecole;Public;L 'ESTOURNAL;L 'ESTOURNAL;48220 PONT DE MONTVERT SUD MONT LOZERE;48220;48116;Pont de Montvert - Sud Mont Lozère;048;11;76;1;1;;;;0466458630;;;ce.0480245F@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;20005759400059;44;;44.36507335141892, 3.7458601725649903;SANS OBJET;Lozère;Montpellier;Occitanie;759438.6;6363174.0;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.36507335141892;3.7458601725649903;Rue;1968-02-03;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480003T;;;0480048S;048001;FLORAC;11101;LOZERE
0340673X;Ecole élémentaire Louis Landier;Ecole;Public;Boulevard des Sources;;34980 ST CLEMENT DE RIVIERE;34980;34247;Saint-Clément-de-Rivière;034;11;76;0;1;;;;0467843701;;;ce.0340673X@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340247200020;238;;43.68575130889969, 3.850680246321374;SANS OBJET;Hérault;Montpellier;Occitanie;768604.7;6287782.5;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Mathieu-de-Tréviers;43.68575130889969;3.850680246321374;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340110K;;;0341720K;034007;MATHIEU;11124;PIC SAINT LOUP
0480307Y;école primaire;Ecole;Public;VILLAGE;;48160 LE COLLET DE DEZE;48160;48051;Le Collet-de-Dèze;048;11;76;1;1;;;;0466455309;;;ce.0480307Y@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21480051800026;69;;44.244004899715485, 3.920030396821829;SANS OBJET;Lozère;Montpellier;Occitanie;773474.6;6349871.3;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.244004899715485;3.920030396821829;Numéro de rue;1968-02-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480002S;;;0480048S;048001;FLORAC;11101;LOZERE
0340686L;Ecole élémentaire Plaisance;Ecole;Public;Hameau de Plaisance;;34610 ST GENIES DE VARENSAL;34610;34257;Saint-Geniès-de-Varensal;034;11;76;0;1;;;;0467236408;;;ce.0340686L@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340257100029;16;;43.672213971903254, 3.005109865596299;SANS OBJET;Hérault;Montpellier;Occitanie;700412.2;6285908.5;EPSG:2154;Circonscription d'inspection du 1er degré de Bédarieux;43.672213971903254;3.005109865596299;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;034006;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340070S;;;0341563P;034002;BEDARIEUX;11082;CENTRE HERAULT
0480364K;école primaire;Ecole;Public;Village;;48110 ST MARTIN DE LANSUSCLE;48110;48171;Saint-Martin-de-Lansuscle;048;11;76;1;1;;;;0962113679;;;ce.0480364K@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21480171400020;12;;44.21680111960429, 3.7533598875882968;SANS OBJET;Lozère;Montpellier;Occitanie;760193.4;6346708.1;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.21680111960429;3.7533598875882968;Numéro de rue;1968-02-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480002S;;;0480048S;048001;FLORAC;11101;LOZERE
0340730J;Ecole élémentaire Pierre Perret;Ecole;Public;Rue du Bassin;;34400 ST SERIES;34400;34288;Saint-Sériès;034;11;76;0;1;;;;0951536819;;;ce.0340730J@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340288600021;94;;43.73159860874024, 4.103760065590045;SANS OBJET;Hérault;Montpellier;Occitanie;788942.4;6293129.7;EPSG:2154;Circonscription d'inspection du 1er degré de Lunel;43.73159860874024;4.103760065590045;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;034017;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341825Z;;;0340863D;034006;LUNEL;11119;LUNEL
0480380C;école primaire;Ecole;Public;Village;;48240 ST PRIVAT DE VALLONGUE;48240;48178;Saint-Privat-de-Vallongue;048;11;76;1;1;;;;0466454002;;;ce.0480380C@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21480178900022;26;;44.2784458778914, 3.8348798666075266;SANS OBJET;Lozère;Montpellier;Occitanie;766634.2;6353621.8;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.2784458778914;3.8348798666075266;Numéro de rue;1968-02-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480002S;;;0480048S;048001;FLORAC;11101;LOZERE
0340731K;Ecole élémentaire Léonce Ruffie;Ecole;Public;2 boulevard des Ecoles;;34630 ST THIBERY;34630;34289;Saint-Thibéry;034;11;76;0;1;;;;0467778044;;;ce.0340731K@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340289400025;188;;43.396258877089906, 3.4193902633678666;SANS OBJET;Hérault;Montpellier;Occitanie;733993.9;6255327.6;EPSG:2154;Circonscription d'inspection du 1er degré de Pézenas;43.396258877089906;3.4193902633678666;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0342130F;;;0340868J;034001;AGDE;11114;BASSIN DE THAU
0480435M;école primaire Lucie Aubrac;Ecole;Public;VILLAGE;;48370 ST GERMAIN DE CALBERTE;48370;48155;Saint-Germain-de-Calberte;048;11;76;1;1;;;;0466321362;;;ce.0480435M@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21480155700023;20;;44.21617566541885, 3.808270285186101;SANS OBJET;Lozère;Montpellier;Occitanie;764581.3;6346682.0;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.21617566541885;3.808270285186101;Numéro de rue;1968-02-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480002S;;;0480048S;048001;FLORAC;11101;LOZERE
0340736R;Ecole élémentaire;Ecole;Public;Route de la Gloriette;;34800 SALASC;34800;34292;Salasc;034;11;76;0;1;;;;0467880970;;;ce.0340736R@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340292800047;24;;43.61830786621015, 3.3169705893313766;SANS OBJET;Hérault;Montpellier;Occitanie;725593.2;6279968.9;EPSG:2154;Circonscription d'inspection du 1er degré de Lodève;43.61830786621015;3.3169705893313766;Numéro de rue;1995-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;034012;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341405T;;;0342170Z;034005;LODEVE;11082;CENTRE HERAULT
0480438R;Ecole primaire Le Teil;Ecole;Public;1 rue du 19 mars 1962;;48340 ST GERMAIN DU TEIL;48340;48156;Saint-Germain-du-Teil;048;11;76;1;1;;;;0466326665;;;ce.0480438R@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21480156500026;33;;44.47797380795259, 3.1737340511896455;SANS OBJET;Lozère;Montpellier;Occitanie;713817.7;6375450.4;EPSG:2154;Circonscription d'inspection du 1er degré de Marvejols - ASH;44.47797380795259;3.1737340511896455;Numéro de rue;1968-02-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480006W;;;0480047R;048002;MARVEJOLS;11101;LOZERE
0340742X;Ecole primaire;Ecole;Public;178 avenue de Montpellier;;34160 SAUSSINES;34160;34296;Saussines;034;11;76;1;1;;;;0467425461;;;ce.0340742X@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340296900025;91;;43.761932118891956, 4.055990220592289;SANS OBJET;Hérault;Montpellier;Occitanie;785048.2;6296447.7;EPSG:2154;Circonscription d'inspection du 1er degré de Castelnau le Lez;43.761932118891956;4.055990220592289;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341280G;;;0340865F;034006;LUNEL;11118;GARD SUD-OUEST
0480468Y;école primaire;Ecole;Public;Route Palhères;;48800 VILLEFORT;48800;48198;Villefort;048;11;76;1;1;;;;0466468100;;;ce.0480468Y@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21480198700030;79;;44.440207865413655, 3.925209470020508;SANS OBJET;Lozère;Montpellier;Occitanie;773632.8;6371671.3;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.440207865413655;3.925209470020508;Rue;1968-02-06;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480017H;;;0480048S;048001;FLORAC;11101;LOZERE
0340755L;Ecole élémentaire Ferdinand Buisson;Ecole;Public;4 rue des Ecoles;;34200 SETE;34200;34301;Sète;034;11;76;0;1;;;;0467511036;;;ce.0340755L@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340301700097;239;;43.410662666186546, 3.6745904469264232;SANS OBJET;Hérault;Montpellier;Occitanie;754665.2;6257071.9;EPSG:2154;Circonscription d'inspection du 1er degré de Sète;43.410662666186546;3.6745904469264232;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340115R;;;0340864E;034012;SETE;11114;BASSIN DE THAU
0480484R;Ecole élémentaire Michel del Castillo;Ecole;Public;1 rue du Faubourg Montbel;;48000 MENDE;48000;48095;Mende;048;11;76;0;1;;;;0466650794;;;ce.0480484R@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;13002143900075;90;;44.51967641261685, 3.4967605706011375;SANS OBJET;Lozère;Montpellier;Occitanie;739479.8;6380191.9;EPSG:2154;Circonscription d'inspection du 1er degré de Mende;44.51967641261685;3.4967605706011375;Numéro de rue;1968-02-13;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0480607Z;;;0480050U;048003;MENDE;11101;LOZERE
0340768A;Ecole maternelle Hélène Boucher;Ecole;Public;359 boulevard de Verdun;;34200 SETE;34200;34301;Sète;034;11;76;1;0;;;;0467537750;;;ce.0340768A@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340301700295;73;;43.41183087339344, 3.6874004781530507;SANS OBJET;Hérault;Montpellier;Occitanie;755702.1;6257210.7;EPSG:2154;Circonscription d'inspection du 1er degré de Sète;43.41183087339344;3.6874004781530507;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0340115R;;;0340864E;034012;SETE;11114;BASSIN DE THAU
0480492Z;Ecole maternelle Gérard Pons;Ecole;Public;7 rue de Fontanilles;;48000 MENDE;48000;48095;Mende;048;11;76;1;0;;;;0466650848;;;ce.0480492Z@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21480095500061;53;;44.522837928326894, 3.514089468546349;SANS OBJET;Lozère;Montpellier;Occitanie;740854.7;6380551.9;EPSG:2154;Circonscription d'inspection du 1er degré de Mende;44.522837928326894;3.514089468546349;Numéro de rue;1968-10-22;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0480607Z;;;0480050U;048003;MENDE;11101;LOZERE
0340778L;Ecole primaire Gaston-David Villaret;Ecole;Public;Chemin des Garennes;;34700 SOUBES;34700;34304;Soubès;034;11;76;1;1;;;;0467440701;;;ce.0340778L@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340304100022;115;;43.76778389144561, 3.3495299961524316;SANS OBJET;Hérault;Montpellier;Occitanie;728148.6;6296591.6;EPSG:2154;Circonscription d'inspection du 1er degré de Lodève;43.76778389144561;3.3495299961524316;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340117T;;;0342170Z;034005;LODEVE;11082;CENTRE HERAULT
0480539A;école primaire privée la Farandole;Ecole;Privé;VILLAGE;;48000 CHASTEL NOUVEL;48000;48042;Chastel-Nouvel;048;11;76;1;1;;;;0466492604;;;ce.0480539a@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;77610259200016;24;;44.560099621737294, 3.5010902564824997;CONTRAT D'ASSOCIATION TOUTES CLASSES;Lozère;Montpellier;Occitanie;739795.4;6384684.3;EPSG:2154;Circonscription d'inspection du 1er degré de Mende;44.560099621737294;3.5010902564824997;Numéro de rue;1971-03-04;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0480032Z;;;0480050U;048003;MENDE;11101;LOZERE
0340789Y;Ecole primaire;Ecole;Public;Avenue du Château;;34260 LA TOUR SUR ORB;34260;34312;La Tour-sur-Orb;034;11;76;1;1;;;;0467950521;;;ce.0340789Y@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340312400026;84;;43.65337666651893, 3.1487596059916756;SANS OBJET;Hérault;Montpellier;Occitanie;712004.0;6283826.3;EPSG:2154;Circonscription d'inspection du 1er degré de Bédarieux;43.65337666651893;3.1487596059916756;Numéro de rue;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340119V;;;0341563P;034002;BEDARIEUX;11082;CENTRE HERAULT
0480545G;école élémentaire privée Sainte Lucie;Ecole;Privé;5 rue de l'Eglise;;48400 FLORAC TROIS RIVIERES;48400;48061;Florac Trois Rivières;048;11;76;1;1;;;;0466450360;;;ce.0480545g@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;31013059600011;46;;44.32418462975103, 3.5931098634415046;CONTRAT D'ASSOCIATION TOUTES CLASSES;Lozère;Montpellier;Occitanie;747300.1;6358528.5;EPSG:2154;Circonscription d'inspection du 1er degré de Florac;44.32418462975103;3.5931098634415046;Numéro de rue;1971-03-04;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0480003T;;;0480048S;048001;FLORAC;11101;LOZERE
0340800K;Ecole élémentaire Edmond Teissier;Ecole;Public;Rue des Ecoles;;34270 VALFLAUNES;34270;34322;Valflaunès;034;11;76;0;1;;;;0467553556;;;ce.0340800K@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340322300026;89;;43.800169244440546, 3.8743497268650513;SANS OBJET;Hérault;Montpellier;Occitanie;770372.7;6300517.8;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Mathieu-de-Tréviers;43.800169244440546;3.8743497268650513;Ville;1965-07-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;034010;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341705U;;;0341720K;034007;MATHIEU;11124;PIC SAINT LOUP
